=== 按参数量分类的模�?===,,,,
,,,,
模型: vim_5m (5.46M),,,,
配置,Laptop Intel(R) Core(TM) Ultra 9 285H 16GB,Laptop Intel(R) Core 5 220H 8GB,ARM64_Raspberry_Pi_5,RK3588 8G
Python-Original,472.88,524.25,3669.47,2284.83
Python-Fixlen,384.26,599.49,3329.19,3059.08
Python-Fused,478.25,477.84,3565.18,1784.63
Python-Fused-Fixlen,221.03,321.68,2136.14,1298.79
CPP-Original,344.67,457.38,3636.86,1849.66
CPP-Fixlen,209.77,300.79,3680.68,2231.59
CPP-Fused,307.94,414.31,3094.87,1308.08
CPP-Fused-Fixlen,136.52,268.73,2915.98,886.66
FullCPP-Original,302.93,466.01,2817.3,1838.42
FullCPP-Fixlen,183.77,278,2786.06,2206.67
FullCPP-Fused,143.81,247.86,3178.28,1293.81
FullCPP-Fused-Fixlen,130.96,219.32,2871.55,885.67
SIMD,71.67,156.27,3113.16,549.23
SIMD-Fixlen,78.38,125.12,3439.16,641.05
SIMD-Fused,82.3,130.04,2887.31,588.15
SIMD-Fused-Fixlen,89.11,125.07,2871.33,668.08
,,,,
模型: vim_tiny (7.15M),,,,
配置,Laptop Intel(R) Core(TM) Ultra 9 285H 16GB,Laptop Intel(R) Core 5 220H 8GB,ARM64_Raspberry_Pi_5,RK3588 8G
Python-Original,743.73,868.59,4894.58,3072.95
Python-Fixlen,521.58,889.77,4463.37,4073.55
Python-Fused,605.8,658.63,4809.54,2342.1
Python-Fused-Fixlen,270.07,396.75,2931.16,1886
CPP-Original,432.34,573.07,4898.53,2466.11
CPP-Fixlen,259.53,373.57,4953.24,3010.72
CPP-Fused,375.07,494.81,4139.32,1715.71
CPP-Fused-Fixlen,183.76,284.85,3686.22,1186.91
FullCPP-Original,412.94,576.59,3704.92,2437.58
FullCPP-Fixlen,255.3,384.04,3534.68,2998.48
FullCPP-Fused,190.51,300.53,4274.53,1724.93
FullCPP-Fused-Fixlen,178.45,273.6,3561.19,1184.23
SIMD,93.13,199.77,4031.98,731.71
SIMD-Fixlen,106.47,152.5,4425.32,852.71
SIMD-Fused,107.01,179.25,3704.79,748.07
SIMD-Fused-Fixlen,118.12,164.94,3767.11,806.04
,,,,
模型: vim_10m (10.16M),,,,
配置,Laptop Intel(R) Core(TM) Ultra 9 285H 16GB,Laptop Intel(R) Core 5 220H 8GB,ARM64_Raspberry_Pi_5,RK3588 8G
Python-Original,648.86,793.72,4374.67,3109.44
Python-Fixlen,562.69,816.36,4276.5,4451.55
Python-Fused,563.92,596.34,4041.57,2290.87
Python-Fused-Fixlen,292.35,448.36,2859.94,1641.01
CPP-Original,454.02,653.72,4224.52,2634.41
CPP-Fixlen,281.81,410.58,4329.05,3232.6
CPP-Fused,394.7,517.58,3474.4,1551.96
CPP-Fused-Fixlen,209.15,326.42,3310.97,1296.59
FullCPP-Original,447.88,615.57,3294.4,2653.08
FullCPP-Fixlen,276.36,404.22,3323.99,3244.38
FullCPP-Fused,211.43,325.1,3463.99,1566.71
FullCPP-Fused-Fixlen,195.89,318.52,3283.99,1321.13
SIMD,105.54,166,3703.47,792.05
SIMD-Fixlen,115.6,173.59,4173.24,903.06
SIMD-Fused,113.48,206.83,3016.71,855.35
SIMD-Fused-Fixlen,131.45,203.75,3299.57,847.45
,,,,
模型: vim_15m (15.04M),,,,
配置,Laptop Intel(R) Core(TM) Ultra 9 285H 16GB,Laptop Intel(R) Core 5 220H 8GB,ARM64_Raspberry_Pi_5,RK3588 8G
Python-Original,949.48,1150.64,5530.32,4153.89
Python-Fixlen,817.43,1175.98,5727.63,6077.03
Python-Fused,739.85,784.72,4882.19,3065.39
Python-Fused-Fixlen,375.02,581.42,3672.94,2340.14
CPP-Original,668.06,993.15,5234.73,3580.64
CPP-Fixlen,379.85,570.85,5332.81,4580.55
CPP-Fused,528.11,687.04,4204.2,2430.09
CPP-Fused-Fixlen,294.76,438.97,4261.95,1982.92
FullCPP-Original,640.5,944.29,4200.47,3594.51
FullCPP-Fixlen,371.68,556.51,4228.15,4646.05
FullCPP-Fused,292.99,450.06,4217.89,2304.9
FullCPP-Fused-Fixlen,268.68,429.67,4212.71,1940.95
SIMD,138.14,244.88,4831.33,1346.36
SIMD-Fixlen,162.03,225.66,5208.85,1546.41
SIMD-Fused,169.8,237.73,3654.63,1260.44
SIMD-Fused-Fixlen,209.98,251.27,4092,1432.16
,,,,
模型: vim_20m (19.78M),,,,
配置,Laptop Intel(R) Core(TM) Ultra 9 285H 16GB,Laptop Intel(R) Core 5 220H 8GB,ARM64_Raspberry_Pi_5,RK3588 8G
Python-Original,967.86,1234.03,6571.95,4907.07
Python-Fixlen,906.3,1288.3,6877.24,7275.91
Python-Fused,832.86,913.55,5335.41,3502.32
Python-Fused-Fixlen,480.77,750.75,4208.9,2760.65
CPP-Original,756.81,1076.18,6004.5,4269.8
CPP-Fixlen,529.05,693.81,5663.62,5496.84
CPP-Fused,636.32,861.89,4739.86,2765.77
CPP-Fused-Fixlen,347.69,536.79,4811.19,2434.6
FullCPP-Original,751.03,1037.13,4786.39,4200.48
FullCPP-Fixlen,513.53,678.06,5034.81,5325.22
FullCPP-Fused,363.39,532.39,4890.33,2538.6
FullCPP-Fused-Fixlen,330.89,511.86,4758.39,2094.11
SIMD,185.2,321.41,5309.6,1233.73
SIMD-Fixlen,193.45,277.04,5738.52,1461.46
SIMD-Fused,203.19,324.56,4185.87,1275.27
SIMD-Fused-Fixlen,214.14,301.03,4728.37,1455.07
,,,,
=== 按FLOPs分类的模�?===,,,,
,,,,
模型: vim_2gflops (9.46M/2G FLOPs),,,,
配置,Laptop Intel(R) Core(TM) Ultra 9 285H 16GB,Laptop Intel(R) Core 5 220H 8GB,ARM64_Raspberry_Pi_5,RK3588 8G
Python-Original,790.79,856.14,4986.28,3435.56
Python-Fixlen,614.92,865.6,4586.18,4726.21
Python-Fused,762.96,737.44,4773.42,2576.21
Python-Fused-Fixlen,327.28,520.47,3272.17,1865.87
CPP-Original,499.72,726.8,4973,2884.3
CPP-Fixlen,307.89,416.73,5033.72,3426.79
CPP-Fused,525.9,658.41,4019.47,1827.94
CPP-Fused-Fixlen,222.35,372.78,3633.59,1377.7
FullCPP-Original,486.09,706.39,3788.4,2829.15
FullCPP-Fixlen,297.6,395.34,3809.19,3423.12
FullCPP-Fused,233.44,346.58,4236.34,1827.65
FullCPP-Fused-Fixlen,213.65,319.04,3948.78,1346.7
SIMD,142.92,231.28,4336.89,819.46
SIMD-Fixlen,140.48,178.31,4710.17,988.32
SIMD-Fused,139.73,239.26,3697.69,862.35
SIMD-Fused-Fixlen,145.53,201.08,3885.02,951.62
,,,,
模型: vim_3gflops (14.61M/3G FLOPs),,,,
配置,Laptop Intel(R) Core(TM) Ultra 9 285H 16GB,Laptop Intel(R) Core 5 220H 8GB,ARM64_Raspberry_Pi_5,RK3588 8G
Python-Original,907.45,1117.46,5697.57,4296.76
Python-Fixlen,768.01,1063.34,6070.35,6147.16
Python-Fused,866.89,907.53,5289.1,3028.85
Python-Fused-Fixlen,406.48,698.41,3897.3,2163.55
CPP-Original,649.41,886.53,5730.45,3613.28
CPP-Fixlen,397.56,565.21,5776.6,4391.8
CPP-Fused,634.86,799.75,4629.59,2148.48
CPP-Fused-Fixlen,292.49,454.53,4422.21,1758.24
FullCPP-Original,642.66,866.25,4333.19,3590.31
FullCPP-Fixlen,387.53,538.34,4512.39,4407.44
FullCPP-Fused,308.57,512.54,4423.15,2083.93
FullCPP-Fused-Fixlen,282.21,490.87,4172.17,1724.68
SIMD,145.28,273.16,5109.2,1057.62
SIMD-Fixlen,165.52,237.06,5393.58,1102.6
SIMD-Fused,172.83,284.53,3958.46,1033.25
SIMD-Fused-Fixlen,182.12,255.56,4192.07,1133.52
,,,,
模型: vim_4gflops (17.97M/4G FLOPs),,,,
配置,Laptop Intel(R) Core(TM) Ultra 9 285H 16GB,Laptop Intel(R) Core 5 220H 8GB,ARM64_Raspberry_Pi_5,RK3588 8G
Python-Original,957.34,1205.72,6179.99,4574.76
Python-Fixlen,874.95,1241.85,6651.63,6807.49
Python-Fused,913.17,971.74,5330.91,3191.15
Python-Fused-Fixlen,467.75,741.3,4166.36,2391.76
CPP-Original,709.88,1016.07,5879.48,3975.05
CPP-Fixlen,454.27,661.62,5726.8,4920.29
CPP-Fused,710.86,907.09,4633.59,2305.01
CPP-Fused-Fixlen,332.04,498.29,4799.18,1953.32
FullCPP-Original,722.22,996.34,4695.68,3942.54
FullCPP-Fixlen,446.95,664.39,4826.79,5064.98
FullCPP-Fused,353.69,501.5,4774.4,2280.37
FullCPP-Fused-Fixlen,319.04,498.45,4703.47,1921.79
SIMD,163.87,299.09,5180.2,1175.74
SIMD-Fixlen,186.23,265.35,5739.61,1384.55
SIMD-Fused,187.95,265.58,4004.8,1067.54
SIMD-Fused-Fixlen,204.9,284.51,4733.43,1297.13
,,,,
模型: vim_5gflops (23.67M/5G FLOPs),,,,
配置,Laptop Intel(R) Core(TM) Ultra 9 285H 16GB,Laptop Intel(R) Core 5 220H 8GB,ARM64_Raspberry_Pi_5,RK3588 8G
Python-Original,1045.89,1362.18,6761.27,5315.49
Python-Fixlen,1037.17,4478.8,7800.6,7992.31
Python-Fused,871.36,4423.58,5601.66,3716.73
Python-Fused-Fixlen,480.79,2563.06,4548.29,2969.36
CPP-Original,844.19,4740.71,6453.08,4655.53
CPP-Fixlen,540.56,3932.64,6166.42,6045.59
CPP-Fused,705.51,3417,5141.18,2986.78
CPP-Fused-Fixlen,383.19,1795.91,5319.2,2597.65
FullCPP-Original,831.69,4827.88,5280.79,4715.94
FullCPP-Fixlen,547.58,3734.14,5630.39,6070.02
FullCPP-Fused,399.18,1926.15,5265.36,2984.43
FullCPP-Fused-Fixlen,373.45,1724.22,5374.19,2578.34
SIMD,200.34,1038.62,5525.16,1745.04
SIMD-Fixlen,219.87,1019.04,6002.64,1913.09
SIMD-Fused,213.96,1226.45,4470.42,1703.34
